"COLUMN_NAME"	"SAMPLE_TYPE"	"LABEL"	"LEGAL_VALUES"
"HUC2"	"DESIGN"	"USGS Level 2 Hydrologic Unit Code where stream reach is located (based on NHDPlusV2 use of HUCs)"	"H01|H02|H03N|H03S|H03W|H04|H05|H06|H07|H08|H09|H10L|H10U|H11|H12|H13|H14|H15|H16|H17|H18|H19|H20"
"HUC2_NM"	"DESIGN"		"Arkansas-Red-White Region|California Region|Great Basin Region|Great Lakes Region|Lower Colorado Region|Lower Mississippi Region|\"Lower Missouri Region|Mid-Atlantic Region|New England Region|Ohio Region|Pacific Northwest Region|Rio Grande Region|Souris-Red-Rainy Region|South Atlantic-North Region|South Atlantic-South Region|South Atlantic-West Region|Tennessee Region|Texas Region|Upper Colorado Region|Upper Mississippi Region|Upper Missouri Region|"
"HUC8"	"DESIGN"	"USGS Level 8 Hydrologic Unit Code where stream reach is located (based on NHDPlusV2 use of HUCs)"	"Alphanumeric code; 8-digit preceded by letter H"
"HUC8"	"DESIGN"	"USGS Level 8 Hydrologic Unit Code where stream reach is located (based on NHDPlusV2 use of HUCs) Alphanumeric code; 8-digit preceded by letter H. No missing values allowed."	
"HUC8_NM"	"DESIGN"	"USGS Level 8 Hydrologic  Cataloging Unit Name where stream reach is located"	"Text"
"HUC8_NM"	"DESIGN"	"USGS Level 8 Hydrologic  Cataloging Unit Name where stream reach is located Text. No missing values allowed."	
"LAT_DD83"	"DESIGN"	"Latitude (based on NAD83 datum) for stream site  from NHD-based sample frame."	"Numeric"
"LAT_DD83"	"DESIGN"	"Latitude (based on NAD83 datum) for stream site  from NHDPlusV2 Numeric. No missing values allowed."	
"LAT_DD83"	"LANDSCAPE"	"Latitude in decimal degrees NAD83"	
"LON_DD83"	"DESIGN"	"Longitude (based on NAD83 datum) for stream site  from NHD-based sample frame."	"Numeric"
"LON_DD83"	"DESIGN"	"Longitude (based on NAD83 datum) for stream site  from NHDPlusV2 Numeric. No missing values allowed."	
"LON_DD83"	"LANDSCAPE"	"Longitude in decimal degrees NAD83"	
"MAJ_BAS_NM"	"DESIGN"	"Major USGS Hydrologic Basins derived from NHDPlus Names"	"Text of 16 basin names"
"MAJ_BAS_NM"	"DESIGN"	"Major USGS Hydrologic Basins derived from NHDPlus names"	"Arkansas-White-Red Region|California Region| Great Basin Region|Great Lakes Region|Lower Colorado Region|Lower Mississippi Region|Mid Atlantic Region|Missouri Region|New England Region|Ohio-Tennessee Region|Pacific Northwest Region|Rio Grande-Texas-Gulf Region|Souris-Red-Rainy Region|South Atlantic Gulf Region|Upper Colorado Region|Upper Mississippi Region|"
"MAJ_BASIN"	"DESIGN"	"Major USGS Hydrologic Basins derived from NHDPlus Codes"	"16 Major Basin Codes from 01 to 18 with 05_06 and 12_13 combined preceeded by letter H"
"MAJ_BASIN"	"DESIGN"	"Major USGS Hydrologic Basins derived from NHDPlus codes 16 Major Basin codes from 01 to 18 with 05_06 and 12_13 combined preceeded by letter H"	"H01|H02|H03|H04|H05_06|H07|H08|H09|H10|H11|H12_13|H14|H15|H16|H17|H18"
"MAJ_RIV_NM"	"DESIGN"	"Name of major or additional river"	
"MAJ_RIV_NM"	"DESIGN"	"Name of Major River in US (based on major rivers defined in Benke's Rivers of North America) Text name"	
"MAJ_RIVER"	"DESIGN"	"Identifies river as major or additional river based on Rivers of North America"	
"MAJ_RIVER"	"DESIGN"	"Designates if major river in US (based on major rivers defined in Benke's Rivers of North America)"	"MajorRiver|Additional|NotMajorRiver"
"MIS_BAS_NM"	"DESIGN"	"The hydrologic basin name for streams in the Mississippi Basin derived from NHDPlus names, or blank for streams not in the Mississippi Basin Text of 7 basin names or blank"	
"MIS_BASIN"	"DESIGN"	"The hydrologic basin code for streams in the Mississippi Basin derived from NHDPlus codes or blank for streams not in the Mississippi Basin Text of 7 basin codes with H10 split into H10L and H10U or blank"	"H05|H06|H07|H08|H10L|H10U|H11|NMRB"
"MISS_BASIN"	"DESIGN"	"The hydrologic basin name for streams in the Mississippi Basin, or NA for streams not in the Mississippi Basin"	"Text of 7 basin names or NA"
"MISS_BASIN"	"DESIGN"	"Within Mississippi Basin or outside, based on MIS_BAS_NM values"	"Mississippi_Basin|Not_Mississippi_Basin"
"NA_L1CODE"	"DESIGN"	"CEC North American Level I ecoregion code"	"Numeric 5 to 15 excluding 14 and 0 designating HI"
"NA_L1CODE"	"DESIGN"	"CEC North American Level I ecoregion code Numeric 5 to 15 excluding 14 and 0 designating HI"	
"NA_L1NAME"	"DESIGN"	"CEC North American Level I ecoregion name"	"Text"
"NA_L1NAME"	"DESIGN"	"CEC North American Level I ecoregion name"	"EASTERN TEMPERATE FORESTS|GREAT PLAINS|MARINE WEST COAST FOREST|MEDITERRANEAN CALIFORNIA|NORTH AMERICAN DESERTS|NORTHERN FORESTS|NORTHWESTERN FORESTED MOUNTAINS|SOUTHERN SEMI-ARID HIGHLANDS|TEMPERATE SIERRAS|TROPICAL WET FORESTS|"
"NA_L2CODE"	"DESIGN"	"CEC North American Level II ecoregion code"	"Alphanumeric: n.n where leading position is Level I code and following position is Level 2 designation"
"NA_L2CODE"	"DESIGN"	"CEC North American Level II ecoregion code Alphanumeric: n.n where leading position is Level I code and following position is Level 2 designation"	
"NA_L2NAME"	"DESIGN"	"CEC North American Level II ecoregion name"	"Text"
"NA_L2NAME"	"DESIGN"	"CEC North American Level II ecoregion name"	
"NARS_NAME"	"DESIGN"	"Name of lake from field evaluation or GNIS NAME if the same"	"Text"
"NARS_NAME"	"DESIGN"	"Name of stream from field evaluation or GNIS NAME if the same"	
"OWN_NARS"	"DESIGN"	"Land ownership category used by NARS.  List final names….."	"BLM| DOD|| DOE|USFS|FWS|NOAA|Non Federal|NPS|Tribal Land| USACE|USBR|NRCS| Other Fed"
"PANEL_RVST"	"DESIGN"	"Survey of time panels that identifies which sites were visited in which design cycle.  Form is SSS_Y1_Y2_Y3_etc where SSS is abbreviation for the STUDY (NRS) and Yi identifies year visited which is NO if no visit in that design cyle. For HAND sites, panel value is \"NONE\". No missing or blank values allowed."	
"PANEL_SOT"	"DESIGN"		"NRS_08_NO|NRS_08_13|NRS_NO_13|HAND"
"PANEL_USE"	"DESIGN"	"NRSA Panel Assignment. Text that has form NRSnn_mmXXXn_YYYY, where nn is current cycle year (09, 14, 19, etc), mm is cycle year stream site was first selected for sampling, XXXn denotes revisit status, and YYYY denotes base or over sample status.  XXXn equals either RVT2 (if site should be visited twice in current cycle year) or RVT (if site should be visited once in current cycle and was previously visited in a prior cycle year) and is blank otherwise.  YYYY  is either blank (if the stream site is a base site) or equals OverSamp (if the stream site is an over sample site).  Note: For state specific designs, state two letter code is added.  Hand-picked sites have value \"NONE\""	
"PANEL_WGT"	"DESIGN"	"Sets of probability sites required for the weight adjustment for each design cycle.  PANEL_WGT is not changed when future design cycles are completed. Hand-picked sites assigned as NONE, since they are not a probability site. No missing or blank values allowed."	
"PROB_CAT"	"DESIGN"	"NRSA unequal probability categories used within a stratum Text that varies. Missing values valid for Hand-picked sites as they are not a site from probability design."	
"PSTL_CODE"	"DESIGN"	"State two-letter postal code"	
"PSTL_CODE"	"DESIGN"	"State two letter postal code 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."	
"REACHCODE"	"DESIGN"	"NHD Reach code assigned"	"Numeric"
"REACHCODE"	"DESIGN"	"NHD Reach code assigned"	"Reachcode value preceeded by 'R' (values have leading zeros)"
"SF_ST_ID"	"DESIGN"	"Stream ID from a State sample frame . None if not in state sample frame. No missing or blank values allowed."	
"SITE_ID"	"DESIGN"	"Site ID for the study and year sampled.  Preferred form is NRSnn_MM-xxxxx  where  nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. Text.  No missing values allowed."	
"SITE_ID"	"LANDSCAPE"	"Unique Site ID assigned for NRSA13-14"	
"SITE_ID"	"VERIF"	"Site ID"	
"SITETYPE"	"DESIGN"	"Site type (Probability-based or hand-picked)"	"PROB | HAND"
"SITETYPE"	"DESIGN"		"PROB|HAND|STARHAND|"
"SOURCE"	"DESIGN"	"Sample frame source"	"NHDPlusv2| State frame names"
"SOURCE"	"DESIGN"	"Sample frame source for PROB sites and NONE for HAND sites.  State frame names if used. "	"RF3| NHDPlusV1| NHDPlusV2|NONE"
"STATE_NM"	"DESIGN"	"State to which stream reach is assigned for sampling in NRSA Complete name"	
"STATE_SF"	"DESIGN"		"Include|Exclude|"
"STATECTY"	"DESIGN"	"FIPS state and county code"	"Text - numeric with leading zero"
"STATECTY"	"DESIGN"	"FIPS state and county code Text - numeric with leading zero"	
"STRAH_CAL"	"DESIGN"	"Strahler calculator from NHDPlusv2.  Used to identify braided reaches."	"Numeric: 0 to 10."
"STRAH_CAL"	"DESIGN"	"Strahler calculator from NHDPlusv2.  Used to identify braided reaches. Numeric: 0 to 10."	
"STRAH_CAT"	"DESIGN"	"Strahler category used to classify reaches.  RiversMajor (5th and higher)  RiversOther (5th and higher) LargeStreams (3rd and 4th)  SmallStreams (1st and 2nd)"	"RiversMajor | RiversOther | LargeStreams | SmallStreams"
"STRAH_CAT"	"DESIGN"	"Strahler category used to classify reaches.  RiversMajor (5th and higher)  RiversOther (5th and higher) LargeStreams (3rd and 4th)  SmallStreams (1st and 2nd)"	"RiversMajor|RiversOther|LargeStreams|SmallStreams|"
"STRAH_ORD"	"DESIGN"	"Strahler order from NHDPlusv2"	"Numeric: 0 to 10."
"STRAH_ORD"	"DESIGN"	"Strahler order from NHDPlusv2 Numeric: 0 to 10."	
"STRATUM"	"DESIGN"	"Stratum use for survey design (national assessment). Needed for population estimates. For value definitions, see survey-specific design documentation."	
"STRATUM"	"DESIGN"	"Strata used in NRSA survey design. HAND sites have missing value."	
"TNT_CAT"	"DESIGN"	"NRSA target status assigned based on stream site evaluation. For population estimation must combine with SITETYPE to restrict to probability survey sites."	"Target|Target_Presumed|Uncertain|Non_Target|Not_Needed|"
"URBN_NRS08"	"DESIGN"	"Stream  identified as an urban stream based on urban definition used in NRSA 2008-9 design.  Urban based on 2000 Census polygons of urban areas and 3km buffer to ensure census waters included.  No missing or \"blank\" values allowed."	"Urban|Non-Urban|"
"URBN_NRS18"	"DESIGN"	"Stream  identified as an urban stream based on urban definition used in NRSA 2018-19 design. Urban based on 2010 Census polygons of urban areas. No 3km buffer to ensure census waters included since census polygons now include census waters.  No missing or \"blank\" values allowed."	"Urban|Non-Urban|"
"US_L3CODE"	"DESIGN"	"Omernik Level III ecoregion code"	"Numeric 1 to 85"
"US_L3CODE"	"DESIGN"	"Omernik Level III ecoregion code Numeric 1 to 85"	
"US_L3NAME"	"DESIGN"	"Omernik Level III ecoregion name"	"Text name"
"US_L3NAME"	"DESIGN"	"Omernik Level III ecoregion name Text name"	
"US_L4CODE"	"DESIGN"	"Omernik Level IV ecoregion code"	"Level three codes plus aphabetic ending identifying level 4 subregion"
"US_L4CODE"	"DESIGN"	"Omernik Level IV ecoregion code Level three codes plus aphabetic ending identifying level 4 subregion"	
"US_L4NAME"	"DESIGN"	"Omernik Level IV ecoregion name"	"Text name"
"US_L4NAME"	"DESIGN"	"Omernik Level IV ecoregion name Text name"	
"USFS"	"DESIGN"	"US Forest Service land or other, based on OWN_NARS."	"Forest_Service|Not_Forest_Service"
"VISIT_NO"	"VERIF"	"Number identifying which visit this is"	"|1|2"
"WGT_CAT"	"DESIGN"	"NRSA categories used to adjust weights for site"	
"WGT_DSGN"	"DESIGN"	"NRSA initial site weight assigned during site selection. DO NOT USE FOR POPULATION ESTIMATION! Numeric: >0 or 0 if site is not to be used for population estimation"	
"WGT_TP_CORE"	"DESIGN"	"NRSA adjusted weight for site for population estimates of target population based on sampled probability sites. Weight units are stream miles. Value is 0 if site is not to be used for estimates."	
"WGT_TP_EXTENT"	"DESIGN"	"NRSA adjusted weight for site for extent estimates of target population based on all probability sites evaluated. Weight units are stream miles. Value is 0 if site is not to be used for estimates."	
"XCOORD"	"DESIGN"	"x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection"	"Numeric"
"XCOORD"	"DESIGN"	"x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection"	
"YCOORD"	"DESIGN"	"y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection"	"Numeric"
"YCOORD"	"DESIGN"	"y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii sites which are calculated from Hawaii Albers Equal Area Conic projection"	
"YEAR"	"VERIF"	"Year of sampling"	
"UID"		"Unique site visit ID"	
"PUBLICATION_DATE"		"Date of data file publication"	
"UID"		"Unique site visit ID"	
"PUBLICATION_DATE"		"Date of data file publication"	
"UID"		"Unique site visit ID"	
"PUBLICATION_DATE"		"Date of data file publication"	
"DSGN_CYCLE"		"NRSA survey design time period 2000-04| 2008-09 | 2013-14 | 2018-19 | etc.  No missing values allowed."	
"SITETYPE"		"Site type (Probability-based or hand-picked).  PROB for sites from probability survey.  Usually HAND for hand-picked sites.  In EMAP West and WSA, STARHAND is used to identify hand-picked sites that do not have all CORE indicators available."	
"UNIQUE_ID"		"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. No missing values allowed."	
